Date,Close,High,Low,Open,Volume,Spread,SwapLong,SwapShort
2016-06-03,418.25,419.25,410.5,414.0,183279,0.627375,0.0,0.0
2016-06-06,427.25,427.5,419.25,419.75,223124,0.640875,0.0,0.0
2016-06-07,427.75,428.0,422.5,426.25,273076,0.641625,0.0,0.0
2016-06-08,431.25,439.25,426.5,427.25,342762,0.646875,0.0,0.0
2016-06-09,426.5,430.25,423.25,430.25,262525,0.63975,0.0,0.0
2016-06-10,423.0,437.0,420.0,426.5,291065,0.6345000000000001,0.0,0.0
2016-06-13,430.0,438.0,427.5,427.5,304087,0.645,0.0,0.0
2016-06-14,436.5,436.75,423.5,429.5,236330,0.65475,0.0,0.0
2016-06-15,429.0,439.0,428.5,435.75,186442,0.6435,0.0,0.0
2016-06-16,425.25,429.75,420.5,426.25,196401,0.637875,0.0,0.0
2016-06-17,437.75,438.25,423.5,425.0,179118,0.656625,0.0,0.0
2016-06-20,421.25,435.75,420.5,435.5,204937,0.631875,0.0,0.0
2016-06-21,396.25,422.25,396.25,420.5,292416,0.594375,0.0,0.0
2016-06-22,393.0,401.0,392.25,396.5,211875,0.5895,0.0,0.0
2016-06-23,387.25,392.75,384.0,392.0,164756,0.580875,0.0,0.0
2016-06-24,384.5,390.0,373.5,387.5,180562,0.57675,0.0,0.0
2016-06-27,385.25,392.0,383.0,384.25,123573,0.577875,0.0,0.0
2016-06-28,385.25,398.25,382.5,383.0,121380,0.577875,0.0,0.0
2016-06-29,372.75,387.25,372.25,385.5,99434,0.559125,0.0,0.0
2016-06-30,358.75,377.5,355.75,375.0,37491,0.538125,0.0,0.0
2016-07-01,353.0,361.5,352.0,360.75,6927,0.5295,0.0,0.0
2016-07-05,344.0,350.5,333.75,348.0,4788,0.516,0.0,0.0
2016-07-06,335.75,346.5,333.0,344.75,4287,0.503625,0.0,0.0
2016-07-07,335.5,348.0,334.5,338.5,2550,0.50325,0.0,0.0
2016-07-08,349.75,349.75,336.75,337.25,1160,0.524625,0.0,0.0
2016-07-11,343.75,354.75,341.75,354.25,1164,0.515625,0.0,0.0
2016-07-12,349.75,350.25,339.75,343.0,388,0.524625,0.0,0.0
2016-07-13,365.75,372.75,348.5,353.0,673,0.548625,0.0,0.0
2016-07-14,362.25,374.5,360.0,369.5,108690,0.543375,0.0,0.0
2016-07-15,352.25,361.0,343.0,356.5,104622,0.528375,0.0,0.0
2016-07-18,357.0,357.5,348.25,352.25,84620,0.5355,0.0,0.0
2016-07-19,341.75,356.5,341.5,356.5,88392,0.512625,0.0,0.0
2016-07-20,337.5,346.5,335.0,344.25,111929,0.50625,0.0,0.0
2016-07-21,334.25,341.75,332.75,337.75,92502,0.501375,0.0,0.0
2016-07-22,335.0,336.75,326.75,334.5,101545,0.5025000000000001,0.0,0.0
2016-07-25,334.75,338.25,330.25,335.0,92724,0.502125,0.0,0.0
2016-07-26,332.5,336.5,331.0,333.5,95060,0.49875,0.0,0.0
2016-07-27,335.75,338.0,331.75,332.5,81045,0.503625,0.0,0.0
2016-07-28,331.25,338.5,329.0,335.75,88777,0.496875,0.0,0.0
2016-07-29,334.5,335.0,328.75,331.25,102314,0.50175,0.0,0.0
2016-08-01,325.75,333.75,325.5,332.25,83565,0.48862500000000003,0.0,0.0
2016-08-02,324.25,327.5,319.5,325.25,120083,0.486375,0.0,0.0
2016-08-03,325.0,328.75,322.25,323.75,91696,0.4875,0.0,0.0
2016-08-04,320.75,326.75,320.5,325.0,83083,0.481125,0.0,0.0
2016-08-05,324.25,325.0,320.0,320.5,139530,0.486375,0.0,0.0
2016-08-08,325.25,328.0,322.5,324.25,148916,0.487875,0.0,0.0
2016-08-09,322.25,326.75,322.0,325.25,121417,0.483375,0.0,0.0
2016-08-10,322.5,325.5,321.25,322.0,148918,0.48375,0.0,0.0
2016-08-11,321.0,323.75,320.5,322.25,125764,0.4815,0.0,0.0
2016-08-12,322.25,323.0,312.0,320.5,146083,0.483375,0.0,0.0
2016-08-15,326.5,329.0,321.0,321.25,75700,0.48975,0.0,0.0
2016-08-16,327.5,329.0,324.25,326.75,78795,0.49125,0.0,0.0
2016-08-17,330.25,330.75,327.0,327.25,103659,0.495375,0.0,0.0
2016-08-18,332.0,333.0,326.5,330.0,72273,0.498,0.0,0.0
2016-08-19,334.25,334.75,330.0,332.25,85600,0.501375,0.0,0.0
2016-08-22,333.25,334.5,330.5,333.75,71837,0.499875,0.0,0.0
2016-08-23,328.5,333.0,326.5,333.0,90241,0.49275,0.0,0.0
2016-08-24,327.5,330.5,325.5,328.25,77905,0.49125,0.0,0.0
2016-08-25,323.5,328.5,322.25,327.0,94419,0.48525,0.0,0.0
2016-08-26,316.25,325.25,315.75,323.5,98576,0.474375,0.0,0.0
2016-08-29,311.75,318.75,310.75,316.25,128342,0.467625,0.0,0.0
2016-08-30,304.0,312.75,303.5,311.75,132215,0.456,0.0,0.0
2016-08-31,301.5,307.25,301.0,304.0,25255,0.45225,0.0,0.0
2016-09-01,311.0,311.5,301.75,302.0,11499,0.4665,0.0,0.0
2016-09-02,316.5,317.75,311.0,311.0,3408,0.47475,0.0,0.0
2016-09-06,316.75,317.25,312.5,316.0,2455,0.475125,0.0,0.0
2016-09-07,321.0,322.0,315.0,316.25,2568,0.4815,0.0,0.0
2016-09-08,327.0,327.0,322.0,322.0,1477,0.4905,0.0,0.0
2016-09-09,330.0,330.5,323.75,326.5,780,0.495,0.0,0.0
2016-09-12,329.25,330.25,326.0,329.25,1200,0.493875,0.0,0.0
2016-09-13,319.25,330.0,319.25,329.25,709,0.478875,0.0,0.0
2016-09-14,322.25,322.25,317.5,320.5,129673,0.483375,0.0,0.0
2016-09-15,330.0,334.75,327.5,331.5,131018,0.495,0.0,0.0
2016-09-16,337.0,338.25,327.5,329.0,165288,0.5055000000000001,0.0,0.0
2016-09-19,337.25,340.0,332.25,337.25,139737,0.505875,0.0,0.0
2016-09-20,340.5,342.25,335.0,336.0,127944,0.51075,0.0,0.0
2016-09-21,340.0,341.0,338.0,339.0,101255,0.51,0.0,0.0
2016-09-22,336.75,341.5,334.75,339.25,122257,0.505125,0.0,0.0
2016-09-23,336.5,338.5,333.75,336.0,150668,0.50475,0.0,0.0
2016-09-26,329.0,336.5,328.5,334.0,160536,0.4935,0.0,0.0
2016-09-27,331.75,332.5,327.25,329.25,147073,0.497625,0.0,0.0
2016-09-28,329.25,332.5,328.75,331.75,107525,0.493875,0.0,0.0
2016-09-29,329.25,333.5,328.0,329.75,119728,0.493875,0.0,0.0
2016-09-30,336.75,337.5,325.0,329.0,258970,0.505125,0.0,0.0
2016-10-03,346.0,347.75,335.25,336.25,234811,0.519,0.0,0.0
2016-10-04,348.25,349.0,343.5,345.0,158042,0.522375,0.0,0.0
2016-10-05,347.75,349.25,345.25,347.75,142713,0.521625,0.0,0.0
2016-10-06,340.5,347.75,338.5,347.25,178132,0.51075,0.0,0.0
2016-10-07,339.75,344.75,339.5,340.75,173884,0.509625,0.0,0.0
2016-10-11,345.5,347.0,341.0,343.0,148301,0.51825,0.0,0.0
2016-10-12,337.0,348.5,336.5,345.0,219044,0.5055000000000001,0.0,0.0
2016-10-13,349.5,349.75,337.25,337.5,216225,0.52425,0.0,0.0
2016-10-14,354.25,358.75,348.75,349.5,275680,0.531375,0.0,0.0
2016-10-17,354.0,357.75,350.25,353.0,150351,0.531,0.0,0.0
2016-10-18,353.75,357.5,351.5,354.25,140470,0.530625,0.0,0.0
